America East,Year,Round,Rank,Forw-Pred
,,7,0.7346,1.0000
,,8,0.7315,0.7000
,,9,0.7267,1.0000
,,10,0.7840,0.8000
,,11,0.7844,0.7500
,,12,0.7823,0.0000
,,13,0.8438,0.6667
,,14,0.8113,0.3333
,,15,0.8125,0.4000
,,16,0.8060,0.7500
,2008,,,
,,1,0.3750,0.1000
,,2,0.3671,0.2000
,,3,0.4777,0.3333
,,4,0.4879,0.3333
,,5,0.5231,0.5000
,,6,0.6192,0.7500
,,7,0.7119,0.6667
,,8,0.7386,0.7500
,,9,0.7330,0.4286
,,10,0.7321,0.6667
,,11,0.7963,0.4000
,,12,0.7972,0.7143
,,13,0.7972,0.6667
,,14,0.7972,0.6667
,,15,0.8403,0.2500
,,16,0.8108,0.5000
,2009,,,
,,1,0.3750,0.1250
,,2,0.3750,0.3333
,,3,0.3750,0.3333
,,4,0.4001,0.0000
,,5,0.5884,1.0000
,,6,0.6471,0.7143
,,7,0.7343,0.5000
,,8,0.7469,0.6000
,,9,0.7939,0.8333
,,10,0.8086,0.7500
,,11,0.8081,0.6667
,,12,0.8037,0.4286
,,13,0.7942,0.7500
,,14,0.7943,1.0000
,,15,0.8146,0.7500
,,16,0.8143,0.5000
,2010,,,
,,1,0.2500,0.3333
,,2,0.3750,0.6667
,,3,0.4766,0.2500
,,4,0.5029,0.4000
,,5,0.6406,0.6667
,,6,0.7195,0.7500
,,7,0.7465,0.5000
,,8,0.7372,0.7500
,,9,0.7372,0.7500
,,10,0.7372,0.6667
,,11,0.7931,0.5714
,,12,0.8522,0.6667
,,13,0.8665,1.0000
,,14,0.8665,1.0000
,,15,0.8648,0.7500
,,16,0.7900,0.5000
,2011,,,
,,1,0.2500,0.1250
,,2,0.2500,0.7500
,,3,0.3983,0.6667
,,4,0.5201,0.3333
,,5,0.6253,0.3333
,,6,0.6250,0.5000
,,7,0.7393,0.7500
,,8,0.7590,0.7500
,,9,0.7578,0.6250
,,10,0.7470,0.3333
,,11,0.7554,0.5000
,,12,0.7359,0.6000
,,13,0.7285,0.3333
,,14,0.7701,1.0000
,,15,0.7701,0.7500
,,16,0.7627,0.2500
,2012,,,
,,1,0.2500,0.0000
,,2,0.3750,0.6000
,,3,0.5000,0.6667
,,4,0.4934,0.6000
,,5,0.6123,0.5000
,,6,0.6414,0.7500
,,7,0.7608,1.0000
,,8,0.8675,0.7500
,,9,0.9205,0.8333
,,10,0.8750,0.5000
,,11,0.8750,1.0000
,,12,0.8750,0.8000
,,13,0.8886,0.6667
,,14,0.8876,0.0000
,,15,0.8876,0.7500
,,16,0.8876,1.0000
,2013,,,
,,1,0.1250,0.2000
,,2,0.3750,0.5000
,,3,0.3750,0.0000
,,4,0.5099,0.6667
,,5,0.6480,0.6000
,,6,0.6452,0.5000
,,7,0.7293,0.6667
,,8,0.8422,0.6000
,,9,0.8425,0.5000
,,10,0.7942,0.7143
,,11,0.7941,0.5000
,,12,0.8716,0.4000
,,13,0.8716,1.0000
,,14,0.8739,1.0000
,,15,0.8705,1.0000
,,16,0.8665,0.5000
,2014,,,
,,1,0.1250,0.0000
,,2,0.2500,0.2857
,,3,0.3750,0.5000
,,4,0.5000,0.5000
,,5,0.6250,0.7500
,,6,0.7500,0.5000
,,7,0.8641,0.5000
,,8,0.8569,0.5000
,,9,0.8654,0.6250
,,10,0.8195,0.2500
,,11,0.8180,0.5000
,,12,0.8180,1.0000
,,13,0.8180,1.0000
,,14,0.7870,0.7500
,,15,0.8125,1.0000
,,16,0.8125,0.7500
,2015,,,
,,1,0.2500,0.3750
,,2,0.3750,0.2500
,,3,0.5000,1.0000
,,4,0.5000,0.5000
,,5,0.6250,0.7500
,,6,0.7500,0.5000
,,7,0.8750,0.7500
,,8,0.8750,0.7500
,,9,0.8750,0.7500
,,10,0.8750,0.6667
,,11,0.8655,1.0000
,,12,0.8750,0.7500
,,13,0.8750,0.5000
,,14,0.8750,0.7500
,,15,0.8750,0.7500
,,16,0.8750,1.0000
,2016,,,
,,1,0.1250,0.2000
,,2,0.3750,0.3333
,,3,0.5000,0.4000
,,4,0.6250,0.5000
,,5,0.6250,0.3333
,,6,0.8561,0.8000
,,7,0.8665,0.2500
,,8,0.8750,1.0000
,,9,0.8750,0.8571
,,10,0.8750,0.8000
,,11,0.8750,0.5000
,,12,0.8750,1.0000
,,13,0.8750,0.5000
,,14,0.8750,0.7500
,,15,0.8428,0.2500
,,16,0.8437,0.5000
,2017,,,
,,1,0.2500,0.5000
,,2,0.3750,0.7500
,,3,0.5000,0.7500
,,4,0.6250,0.5000
,,5,0.6250,1.0000
,,6,0.7500,0.6000
,,7,0.8750,0.7500
,,8,0.8750,0.7500
,,9,0.8700,0.8750
,,10,0.8607,0.3333
,,11,0.8750,0.8000
,,12,0.8706,0.7500
,,13,0.8706,0.6667
,,14,0.8925,1.0000
,,15,0.8750,0.5000
,,16,0.8438,0.5000
,2018,,,
,,1,0.2500,0.0000
,,2,0.2500,0.6667
,,3,0.3750,0.6000
,,4,0.5000,0.5000
,,5,0.6250,1.0000
,,6,0.7500,0.2500
,,7,0.8713,0.5000
,,8,0.8750,0.7500
,,9,0.8750,1.0000
,,10,0.8750,0.6000
,,11,0.8750,0.8000
,,12,0.8438,0.7500
,,13,0.8438,0.5000
,,14,0.8438,0.7500
,,15,0.8438,1.0000
,,16,0.8750,0.5000
,2019,,,
,,1,0.2500,0.0000
,,2,0.3750,0.5000
,,3,0.5000,0.7500
,,4,0.6250,0.7500
,,5,0.6250,0.7500
,,6,0.7500,0.2500
,,7,0.7410,0.2500
,,8,0.8581,0.7500
,,9,0.8657,0.8571
,,10,0.8657,1.0000
,,11,0.8750,1.0000
,,12,0.8624,0.2500
,,13,0.8650,0.7500
,,14,0.8472,0.5000
,,15,0.8510,1.0000
,,16,0.8197,0.7500
Big West,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,0.1111,0.0000
,,2,0.2222,0.6000
,,3,0.3333,0.4000
,,4,0.4532,0.0000
,,5,0.5556,0.6000
,,6,0.6667,1.0000
,,7,0.6705,0.2000
,,8,0.7399,0.7500
,,9,0.7604,0.8000
,,10,0.7477,0.6000
,,11,0.7573,0.4286
,,12,0.7558,0.6000
,,13,0.8461,0.4000
,,14,0.8392,0.4000
,,15,0.8437,0.7500
,,16,0.8418,0.8000
,,17,0.7867,0.6000
,,18,0.7461,0.5000
,2003,,,
,,1,0.2222,0.1111
,,2,0.2222,0.0000
,,3,0.3545,0.3333
,,4,0.3797,0.2000
,,5,0.4568,0.4000
,,6,0.5427,0.5000
,,7,0.6298,0.6000
,,8,0.6501,0.5000
,,9,0.7169,0.4000
,,10,0.6972,0.2000
,,11,0.7125,0.5556
,,12,0.7125,0.6667
,,13,0.6914,0.6667
,,14,0.6667,0.2500
,,15,0.6918,0.5000
,,16,0.7086,0.4000
,,17,0.7562,1.0000
,,18,0.7519,0.6000
,2004,,,
,,1,0.1111,0.0000
,,2,0.3333,0.3750
,,3,0.4444,0.8000
,,4,0.4444,0.0000
,,5,0.5556,1.0000
,,6,0.6667,0.7500
,,7,0.7778,0.4000
,,8,0.8027,0.7500
,,9,0.8007,0.6000
,,10,0.7695,0.4000
,,11,0.7655,0.5000
,,12,0.7807,0.7143
,,13,0.7729,0.8000
,,14,0.7652,0.7500
,,15,0.7767,0.5000
,,16,0.7886,0.8000
,,17,0.7585,0.5000
,,18,0.8247,0.6000
,2005,,,
,,1,0.1111,0.0000
,,2,0.3333,0.3333
,,3,0.4444,1.0000
,,4,0.6667,0.7143
,,5,0.7778,0.7500
,,6,0.7778,0.6000
,,7,0.8889,1.0000
,,8,0.8655,0.6000
,,9,0.8695,0.2500
,,10,0.8690,0.8000
,,11,0.8611,0.7143
,,12,0.8319,0.8000
,,13,0.8180,0.8000
,,14,0.8110,0.3333
,,15,0.8110,0.5000
,,16,0.8325,0.8000
,,17,0.8611,0.7500
,,18,0.8611,0.6000
,2006,,,
,,1,0.2857,0.0000
,,2,0.3571,0.2500
,,3,0.4443,0.5000
,,4,0.5714,0.3333
,,5,0.8257,0.7500
,,6,0.8421,0.6667
,,7,0.8462,0.5000
,,8,0.8090,0.4286
,,9,0.7938,0.2500
,,10,0.7615,0.0000
,,11,0.7682,0.8000
,,12,0.8043,1.0000
,,13,0.8080,0.6667
,,14,0.8204,0.6667
,2007,,,
,,1,0.2857,0.2222
,,2,0.4286,0.5000
,,3,0.5842,0.3333
,,4,0.5714,0.0000
,,5,0.7000,0.3333
,,6,0.7233,0.6667
,,7,0.7143,0.3333
,,8,0.7439,0.8000
,,9,0.7353,0.5000
,,10,0.7353,0.6667
,,11,0.7425,0.8000
,,12,0.7327,0.6667
,,13,0.8448,1.0000
,,14,0.8459,1.0000
,2008,,,
,,1,0.1250,0.2000
,,2,0.3750,0.5000
,,3,0.5000,0.6000
,,4,0.6250,0.3333
,,5,0.6250,0.5000
,,6,0.7500,0.8333
,,7,0.8750,0.7500
,,8,0.8369,0.5000
,,9,0.7996,0.0000
,,10,0.7996,0.6000
,,11,0.8058,0.6000
,,12,0.8079,0.6000
,,13,0.8437,0.7500
,,14,0.8116,0.7500
,,15,0.7725,0.7500
,,16,0.7725,1.0000
,2009,,,
,,1,0.2500,0.3750
,,2,0.3750,0.2500
,,3,0.5000,0.5000
,,4,0.5000,0.3333
,,5,0.6250,0.7500
,,6,0.5660,0.2857
,,7,0.5928,0.3333
,,8,0.6983,0.7500
,,9,0.6560,0.5000
,,10,0.6689,0.4000
,,11,0.6655,0.2857
,,12,0.7038,0.5000
,,13,0.7058,0.5000
,,14,0.6908,0.2500
,,15,0.6846,0.6667
,,16,0.6847,0.2500
,2010,,,
,,1,0.2500,0.1429
,,2,0.2500,0.2500
,,3,0.3983,0.0000
,,4,0.4101,0.2500
,,5,0.4831,1.0000
,,6,0.6382,0.7500
,,7,0.6435,0.5000
,,8,0.7572,0.5000
,,9,0.7541,0.2500
,,10,0.7230,0.5000
,,11,0.6994,0.5714
,,12,0.7293,0.5000
,,13,0.7078,0.5000
,,14,0.6896,0.5000
,,15,0.7157,0.6667
,,16,0.7158,0.5000
,2011,,,
,,1,0.2500,0.2000
,,2,0.5000,0.2222
,,3,0.6250,0.6000
,,4,0.6250,0.0000
,,5,0.7279,0.4000
,,6,0.6445,0.3333
,,7,0.6621,0.2000
,,8,0.7474,0.6667
,,9,0.7484,0.3333
,,10,0.7484,0.6000
,,11,0.7469,0.8000
,,12,0.8054,1.0000
,,13,0.7411,1.0000
,,14,0.7925,0.6667
,,15,0.7505,0.3333
,,16,0.8041,0.2500
,2012,,,
,,1,0.2500,0.1667
,,2,0.2500,0.5000
,,3,0.3877,0.5000
,,4,0.6250,0.6000
,,5,0.6250,0.7500
,,6,0.7500,0.7500
,,7,0.8660,0.7500
,,8,0.8467,0.7500
,,9,0.8659,0.7500
,,10,0.8652,0.5000
,,11,0.9007,0.5714
,,12,0.8750,0.7500
,,13,0.8828,0.7500
,,14,0.8438,0.7500
,,15,0.8438,1.0000
,,16,0.8437,0.5000
,2013,,,
,,1,0.1111,0.0000
,,2,0.3333,0.1667
,,3,0.3517,0.5714
,,4,0.4334,0.4000
,,5,0.5594,0.5000
,,6,0.6608,0.4000
,,7,0.6585,0.2500
,,8,0.7696,0.8000
,,9,0.8340,0.6667
,,10,0.8365,0.5000
,,11,0.7864,0.2000
,,12,0.7912,0.8333
,,13,0.7858,0.8000
,,14,0.8241,0.2500
,,15,0.8241,1.0000
,,16,0.8136,0.4000
,,17,0.8084,0.7500
,,18,0.7942,0.6000
,2014,,,
,,1,0.2500,0.2857
,,2,0.3750,0.4000
,,3,0.3750,0.0000
,,4,0.5000,1.0000
,,5,0.5249,0.2500
,,6,0.6228,0.2000
,,7,0.6351,0.7500
,,8,0.6838,0.2500
,,9,0.7445,0.6667
,,10,0.7468,0.6000
,,11,0.7685,0.7500
,,12,0.7592,0.7500
,,13,0.7747,0.0000
,,14,0.7819,0.5000
,,15,0.7848,0.5000
,,16,0.7929,1.0000
,2015,,,
,,1,0.2500,0.0000
,,2,0.3750,0.4000
,,3,0.5000,0.5000
,,4,0.4899,0.2500
,,5,0.5338,0.7500
,,6,0.6566,1.0000
,,7,0.7738,0.6000
,,8,0.8571,0.5000
,,9,0.8538,0.7500
,,10,0.8240,0.4000
,,11,0.8299,0.7500
,,12,0.8750,0.7500
,,13,0.8560,0.2500
,,14,0.8714,0.5000
,,15,0.8714,1.0000
,,16,0.8714,1.0000
,2016,,,
,,1,0.2500,0.3750
,,2,0.3750,0.2500
,,3,0.5000,0.5000
,,4,0.6250,0.2500
,,5,0.6250,0.2500
,,6,0.6952,0.5000
,,7,0.8156,0.5000
,,8,0.8166,0.7500
,,9,0.7898,0.5000
,,10,0.7907,0.7500
,,11,0.8556,0.7500
,,12,0.8512,1.0000
,,13,0.8060,0.2000
,,14,0.8107,1.0000
,,15,0.8107,1.0000
,,16,0.8107,0.5000
,2017,,,
,,1,0.2500,0.1667
,,2,0.3750,0.8000
,,3,0.5000,0.2000
,,4,0.6250,0.2500
,,5,0.7500,1.0000
,,6,0.7078,0.6000
,,7,0.7026,0.6667
,,8,0.6541,0.4000
,,9,0.7093,1.0000
,,10,0.7600,0.7143
,,11,0.7433,0.2500
,,12,0.7421,0.7500
,,13,0.6977,0.2500
,,14,0.7484,0.5000
,,15,0.7484,0.7500
,,16,0.7676,0.2500
,2018,,,
,,1,0.2500,0.0000
,,2,0.3750,0.6000
,,3,0.5000,1.0000
,,4,0.4892,0.2500
,,5,0.5067,0.0000
,,6,0.6297,0.7500
,,7,0.6290,0.7500
,,8,0.6309,0.0000
,,9,0.6473,0.6000
,,10,0.6764,0.5000
,,11,0.7889,0.5000
,,12,0.7192,0.7500
,,13,0.6921,0.0000
,,14,0.6975,1.0000
,,15,0.7356,0.5000
,,16,0.7375,0.5000
,2019,,,
,,1,0.2500,0.4286
,,2,0.2500,0.3333
,,3,0.3750,0.1667
,,4,0.4693,0.5000
,,5,0.6195,1.0000
,,6,0.7264,0.6667
,,7,0.8067,0.8000
,,8,0.8075,0.8000
,,9,0.8082,0.0000
,,10,0.8072,0.8333
,,11,0.9187,0.7500
,,12,0.8927,0.0000
,,13,0.8927,1.0000
,,14,0.8633,0.4000
,,15,0.8633,0.7500
,,16,0.8724,0.5000
Ivy League,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,0.1429,0.3333
,,2,0.2857,0.7500
,,3,0.4286,0.4286
,,4,0.5714,0.7500
,,5,0.7823,0.6000
,,6,0.8571,0.0000
,,7,0.8571,0.0000
,,8,0.8571,0.6667
,,9,0.8571,1.0000
,,10,0.8565,0.8000
,,11,0.8087,0.5000
,,12,0.7976,1.0000
,,13,0.7967,0.7500
,,14,0.7967,0.5000
,2003,,,
,,1,0.2857,0.4444
,,2,0.4286,0.5000
,,3,0.5714,0.7500
,,4,0.7143,1.0000
,,5,0.7143,0.5000
,,6,0.8571,0.7500
,,7,0.8571,0.2500
,,8,0.8571,1.0000
,,9,0.8571,1.0000
,,10,0.8571,0.8000
,,11,0.8571,0.5000
,,12,0.8571,1.0000
,,13,0.8571,1.0000
,,14,0.8571,1.0000
,2004,,,
,,1,0.2857,0.3000
,,2,0.4286,0.7500
,,3,0.5714,0.6667
,,4,0.5714,0.7500
,,5,0.5598,0.0000
,,6,0.6682,0.6667
,,7,0.8049,0.6000
,,8,0.8049,0.5000
,,9,0.8299,0.5000
,,10,0.8299,1.0000
,,11,0.8313,1.0000
,,12,0.8313,0.7500
,,13,0.8339,0.6000
,,14,0.9184,1.0000
,2005,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.1667
,,4,0.5714,0.5000
,,5,0.8496,0.6000
,,6,0.7486,0.2500
,,7,0.8070,0.7500
,,8,0.8214,0.2500
,,9,0.8214,0.0000
,,10,0.8214,0.7500
,,11,0.8214,1.0000
,,12,0.8214,0.5000
,,13,0.8214,0.7500
,,14,0.8214,0.5000
,2006,,,
,,1,0.1429,0.2000
,,2,0.2857,0.3333
,,3,0.4312,0.5000
,,4,0.5714,0.5000
,,5,0.7143,0.7500
,,6,0.8571,0.7500
,,7,0.8571,1.0000
,,8,0.8571,0.3333
,,9,0.8214,0.2500
,,10,0.7857,0.6000
,,11,0.7780,0.7500
,,12,0.7791,0.5000
,,13,0.7791,0.7500
,,14,0.7781,0.0000
,2007,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4961,0.5000
,,4,0.6272,0.0000
,,5,0.7820,0.6667
,,6,0.7715,0.6000
,,7,0.8346,1.0000
,,8,0.8347,0.7500
,,9,0.7989,0.2500
,,10,0.8075,0.6667
,,11,0.8381,0.2500
,,12,0.8571,0.8000
,,13,0.8571,1.0000
,,14,0.8571,1.0000
,2008,,,
,,1,0.2857,0.2000
,,2,0.2857,1.0000
,,3,0.5714,0.5000
,,4,0.7143,0.7500
,,5,0.7143,0.0000
,,6,0.8571,1.0000
,,7,0.8929,0.7500
,,8,0.8929,0.5000
,,9,0.8718,0.5000
,,10,0.8718,1.0000
,,11,0.8812,0.7500
,,12,0.8214,0.7500
,,13,0.8214,0.7500
,,14,0.8214,1.0000
,2009,,,
,,1,0.2857,0.3000
,,2,0.4286,0.7500
,,3,0.4286,0.3333
,,4,0.5714,0.8000
,,5,0.6877,0.5000
,,6,0.8341,0.5000
,,7,0.8155,0.0000
,,8,0.7727,0.5000
,,9,0.7795,0.2500
,,10,0.7807,0.7500
,,11,0.7028,0.2500
,,12,0.7055,0.2500
,,13,0.7855,0.3333
,,14,0.7868,0.5000
,2010,,,
,,1,0.2857,0.3333
,,2,0.4286,0.2000
,,3,0.4286,0.5000
,,4,0.7143,0.5000
,,5,0.7143,0.7500
,,6,0.8571,0.0000
,,7,0.8571,1.0000
,,8,0.8571,0.5000
,,9,0.8362,0.0000
,,10,0.8362,0.8000
,,11,0.8624,1.0000
,,12,0.8624,1.0000
,,13,0.8624,0.7500
,,14,0.8624,0.6667
,2011,,,
,,1,0.2857,0.4000
,,2,0.4286,0.7500
,,3,0.4286,0.5000
,,4,0.5714,0.2500
,,5,0.7143,1.0000
,,6,0.8571,0.6667
,,7,0.8571,0.6000
,,8,0.8571,1.0000
,,9,0.8407,0.6000
,,10,0.8517,0.7500
,,11,0.8927,0.5000
,,12,0.8927,0.7500
,,13,0.8816,0.6667
,,14,0.8665,0.5000
,2012,,,
,,1,0.2857,0.0000
,,2,0.2857,0.6667
,,3,0.4286,0.4286
,,4,0.5714,0.3333
,,5,0.7143,1.0000
,,6,0.8571,0.7500
,,7,0.8049,0.7500
,,8,0.8049,0.7500
,,9,0.8096,1.0000
,,10,0.9044,0.8000
,,11,0.8520,0.5000
,,12,0.8506,0.7500
,,13,0.8792,1.0000
,,14,0.8719,0.0000
,2013,,,
,,1,0.1429,0.0000
,,2,0.2857,0.5000
,,3,0.4286,0.6000
,,4,0.5714,0.5000
,,5,0.5714,0.0000
,,6,0.6969,0.3333
,,7,0.8015,0.5000
,,8,0.8022,0.7500
,,9,0.7968,0.6667
,,10,0.7525,0.2000
,,11,0.7303,0.5000
,,12,0.6786,0.2000
,,13,0.7386,0.7500
,,14,0.7386,0.5000
,2014,,,
,,1,0.1429,0.0000
,,2,0.2857,0.5714
,,3,0.4286,0.7500
,,4,0.4286,1.0000
,,5,0.5714,0.5000
,,6,0.7884,0.5000
,,7,0.8571,0.5000
,,8,0.8296,1.0000
,,9,0.8370,0.7500
,,10,0.8387,0.5000
,,11,0.8387,0.7500
,,12,0.8974,0.8333
,,13,0.9006,0.5000
,,14,0.9266,1.0000
,2015,,,
,,1,0.1429,0.0000
,,2,0.2857,0.4286
,,3,0.4286,1.0000
,,4,0.4871,0.6667
,,5,0.5714,0.2500
,,6,0.7677,0.8000
,,7,0.8545,0.6667
,,8,0.8090,0.8000
,,9,0.8214,0.2500
,,10,0.8028,0.5000
,,11,0.8023,0.7500
,,12,0.7599,0.6667
,,13,0.7787,0.5000
,,14,0.7793,0.5000
,2016,,,
,,1,0.1429,0.0000
,,2,0.2857,0.8000
,,3,0.4286,0.5000
,,4,0.5714,0.2500
,,5,0.7143,1.0000
,,6,0.8504,0.7500
,,7,0.7918,0.0000
,,8,0.8214,0.6000
,,9,0.8214,1.0000
,,10,0.8674,0.6000
,,11,0.8674,0.8000
,,12,0.8522,0.5000
,,13,0.8214,0.5000
,,14,0.8214,1.0000
,2017,,,
,,1,0.2857,0.5000
,,2,0.4286,0.5000
,,3,0.4286,1.0000
,,4,0.5714,0.5000
,,5,0.7143,0.7500
,,6,0.7143,1.0000
,,7,0.8571,0.7500
,,8,0.8050,0.2500
,,9,0.7987,0.5000
,,10,0.8214,0.5000
,,11,0.8214,0.7500
,,12,0.8214,0.7500
,,13,0.8214,0.5000
,,14,0.7857,0.5000
,2018,,,
,,1,0.2857,0.2000
,,2,0.4286,0.6000
,,3,0.4286,1.0000
,,4,0.5714,0.7143
,,5,0.7143,0.7500
,,6,0.7143,1.0000
,,7,0.8523,0.5000
,,8,0.8439,0.0000
,,9,0.8443,0.7500
,,10,0.8054,0.5000
,,11,0.8063,0.7500
,,12,0.8560,0.5000
,,13,0.8214,0.2500
,,14,0.8214,1.0000
,2019,,,
,,1,0.1429,0.2000
,,2,0.1429,0.3333
,,3,0.2857,0.5000
,,4,0.4286,0.7500
,,5,0.4995,0.5000
,,6,0.5971,0.2500
,,7,0.7352,0.5000
,,8,0.8195,1.0000
,,9,0.8016,0.2500
,,10,0.8175,0.5000
,,11,0.7935,0.7500
,,12,0.7425,0.2500
,,13,0.6933,0.2500
,,14,0.6933,0.7500
Patriot League,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.3571,0.0000
,,4,0.4286,0.2500
,,5,0.5619,0.5000
,,6,0.6093,0.2500
,,7,0.7087,0.2500
,,8,0.7130,0.5000
,,9,0.7143,0.5000
,,10,0.7143,0.5000
,,11,0.7024,0.5000
,,12,0.7194,0.7500
,,13,0.7137,0.7500
,,14,0.6969,0.0000
,2003,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.7500
,,4,0.5714,0.7500
,,5,0.7143,0.7500
,,6,0.7063,0.2500
,,7,0.8316,0.5000
,,8,0.8047,0.5000
,,9,0.8047,1.0000
,,10,0.8025,0.7500
,,11,0.8886,0.7500
,,12,0.8504,0.5000
,,13,0.8537,0.5000
,,14,0.8654,1.0000
,2004,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.2500
,,4,0.5714,0.5000
,,5,0.7143,1.0000
,,6,0.8571,0.7500
,,7,0.8571,1.0000
,,8,0.8571,0.2500
,,9,0.8621,0.5000
,,10,0.8621,0.7500
,,11,0.8529,0.7500
,,12,0.8613,0.7500
,,13,0.8066,0.2500
,,14,0.7276,0.0000
,2005,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.5000
,,4,0.5714,0.7500
,,5,0.7143,0.5000
,,6,0.7169,0.5000
,,7,0.8040,0.5000
,,8,0.8423,1.0000
,,9,0.8402,0.7500
,,10,0.8205,0.7500
,,11,0.8394,0.7500
,,12,0.8387,0.5000
,,13,0.9243,0.5000
,,14,0.9237,0.7500
,2006,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.5000
,,4,0.7143,0.7143
,,5,0.8571,0.3333
,,6,0.8571,0.4000
,,7,0.8571,1.0000
,,8,0.8571,1.0000
,,9,0.8571,1.0000
,,10,0.8571,0.7500
,,11,0.8571,1.0000
,,12,0.8537,0.6667
,,13,0.9088,1.0000
,,14,0.9088,0.5000
,2007,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.0000
,,4,0.5714,0.7500
,,5,0.7143,1.0000
,,6,0.8571,0.2500
,,7,0.8354,0.5000
,,8,0.8354,0.8333
,,9,0.7980,0.7500
,,10,0.8214,0.3333
,,11,0.8214,0.8000
,,12,0.8214,0.0000
,,13,0.8214,0.7500
,,14,0.8214,0.7500
,2008,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.5000
,,4,0.5714,0.5000
,,5,0.6184,0.2500
,,6,0.7298,0.2500
,,7,0.7143,0.0000
,,8,0.6499,0.5000
,,9,0.6780,0.2500
,,10,0.6769,0.0000
,,11,0.6063,0.6000
,,12,0.6539,0.5000
,,13,0.6182,0.0000
,,14,0.6503,0.5000
,2009,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.5000
,,4,0.5282,0.0000
,,5,0.6776,0.5000
,,6,0.7471,0.7500
,,7,0.8103,0.5000
,,8,0.8103,0.7500
,,9,0.8024,0.7500
,,10,0.8277,0.5000
,,11,0.8167,0.5000
,,12,0.8214,0.6667
,,13,0.7857,0.5000
,,14,0.7857,1.0000
,2010,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.0000
,,4,0.5714,0.5000
,,5,0.5760,0.0000
,,6,0.6847,0.2500
,,7,0.7041,0.7500
,,8,0.6947,0.2500
,,9,0.6865,0.0000
,,10,0.6845,0.5000
